Month,City,Company,Total Monthly Hours,TariffRate
July,Nagpur,Tata Power Company Ltd.,2880,8.9
April,Nagpur,Tata Power Company Ltd.,1485.6,8.9
August,Nagpur,Indowind Energy,1159.2,8.9
April,Nagpur,Adani Power Ltd.,1010.4,8.9
February,Nagpur,Adani Power Ltd.,604.16,8.9
January,Nagpur,Tata Power Company Ltd.,528.64,8.9
February,Nagpur,Adani Power Ltd.,542.72,8.9
May,Nagpur,Adani Power Ltd.,1888,8.9
July,Nagpur,Tata Power Company Ltd.,1824,8.9
April,Nagpur,Tata Power Company Ltd.,1111.2,8.9
November,Nagpur,Indowind Energy,632.32,8.9
May,Nagpur,Adani Power Ltd.,1209.6,8.9
April,Nagpur,Indowind Energy,1204.8,8.9
July,Nagpur,Tata Power Company Ltd.,3307.2,8.9
June,Nagpur,Indowind Energy,2827.2,8.9
November,Nagpur,Tata Power Company Ltd.,654.08,8.9
March,Nagpur,Tata Power Company Ltd.,875.2,8.9
October,Nagpur,Adani Power Ltd.,1123.2,8.9
October,Nagpur,Orient Green,825.6,8.9
January,Nagpur,Orient Green,805.12,8.9
March,Nagpur,Reliance Energy,828.8,8.9
May,Nagpur,Adani Power Ltd.,2163.2,8.9
July,Nagpur,Orient Green,3336,8.9
September,Nagpur,Adani Power Ltd.,1376.64,8.9
March,Nagpur,Reliance Energy,1033.6,8.9
May,Nagpur,Tata Power Company Ltd.,1984,8.9
February,Nagpur,Reliance Energy,803.84,8.9
February,Nagpur,Adani Power Ltd.,688.64,8.9
September,Nagpur,Orient Green,910.08,8.9
July,Nagpur,Tata Power Company Ltd.,2793.6,8.9
January,Nagpur,Adani Power Ltd.,624.64,8.9
September,Nagpur,Reliance Energy,533.76,8.9
October,Nagpur,Reliance Energy,931.2,8.9
February,Nagpur,Tata Power Company Ltd.,637.44,8.9
October,Nagpur,Reliance Energy,995.2,8.9
December,Nagpur,Adani Power Ltd.,642.56,8.9
August,Nagpur,Tata Power Company Ltd.,1771.2,8.9
March,Nagpur,Orient Green,470.4,8.9
November,Nagpur,Indowind Energy,631.04,8.9
November,Nagpur,Adani Power Ltd.,788.48,8.9
February,Nagpur,Reliance Energy,579.84,8.9
November,Nagpur,Tata Power Company Ltd.,316.16,8.9
October,Nagpur,Adani Power Ltd.,892.8,8.9
December,Nagpur,Adani Power Ltd.,544,8.9
October,Nagpur,Adani Power Ltd.,1139.2,8.9
February,Nagpur,Orient Green,775.68,8.9
April,Nagpur,Tata Power Company Ltd.,1269.6,8.9
October,Nagpur,Tata Power Company Ltd.,784,8.9
July,Nagpur,Adani Power Ltd.,2947.2,8.9
May,Nagpur,Adani Power Ltd.,1628.8,8.9
July,Nagpur,Tata Power Company Ltd.,3091.2,8.9
February,Nagpur,Tata Power Company Ltd.,702.72,8.9
November,Nagpur,Tata Power Company Ltd.,794.88,8.9
September,Nagpur,Orient Green,604.8,8.9
May,Nagpur,Reliance Energy,1542.4,8.9
August,Nagpur,Adani Power Ltd.,1118.4,8.9
October,Nagpur,Adani Power Ltd.,1115.2,8.9
February,Nagpur,Adani Power Ltd.,558.08,8.9
October,Nagpur,Orient Green,819.2,8.9
August,Nagpur,Reliance Energy,787.2,8.9
February,Nagpur,Orient Green,538.88,8.9
October,Nagpur,Adani Power Ltd.,683.2,8.9
March,Nagpur,Orient Green,1102.4,8.9
October,Nagpur,Tata Power Company Ltd.,649.6,8.9
August,Nagpur,Adani Power Ltd.,1500,8.9
October,Nagpur,Orient Green,968,8.9
October,Nagpur,Indowind Energy,854.4,8.9
January,Nagpur,Indowind Energy,570.88,8.9
November,Nagpur,Reliance Energy,637.44,8.9
May,Nagpur,Adani Power Ltd.,1984,8.9
August,Nagpur,Tata Power Company Ltd.,1521.6,8.9
February,Nagpur,Orient Green,721.92,8.9
October,Nagpur,Tata Power Company Ltd.,780.8,8.9
October,Nagpur,Indowind Energy,760,8.9
March,Nagpur,Indowind Energy,603.2,8.9
April,Nagpur,Tata Power Company Ltd.,1408.8,8.9
January,Nagpur,Tata Power Company Ltd.,921.6,8.9
November,Nagpur,Tata Power Company Ltd.,657.92,8.9
November,Nagpur,Reliance Energy,674.56,8.9
May,Nagpur,Tata Power Company Ltd.,1593.6,8.9
November,Nagpur,Indowind Energy,682.24,8.9
May,Nagpur,Tata Power Company Ltd.,1235.2,8.9
March,Nagpur,Tata Power Company Ltd.,987.2,8.9
October,Nagpur,Reliance Energy,1080,8.9
March,Nagpur,Orient Green,996.8,8.9
September,Nagpur,Orient Green,1198.08,8.9
September,Nagpur,Orient Green,583.68,8.9
April,Nagpur,Tata Power Company Ltd.,1620,8.9
October,Nagpur,Tata Power Company Ltd.,588.8,8.9
June,Nagpur,Adani Power Ltd.,1540.8,8.9
February,Nagpur,Reliance Energy,938.24,8.9
August,Nagpur,Reliance Energy,1322.4,8.9
September,Nagpur,Reliance Energy,1023.36,8.9
March,Nagpur,Orient Green,888,8.9
May,Nagpur,Tata Power Company Ltd.,1673.6,8.9
December,Nagpur,Orient Green,558.08,8.9
February,Nagpur,Adani Power Ltd.,414.72,8.9
July,Nagpur,Tata Power Company Ltd.,2496,8.9
March,Nagpur,Orient Green,788.8,8.9
September,Nagpur,Orient Green,1249.92,8.9
August,Nagpur,Tata Power Company Ltd.,1236,8.9
November,Nagpur,Orient Green,651.52,8.9
February,Nagpur,Orient Green,784.64,8.9
September,Nagpur,Indowind Energy,971.52,8.9
May,Nagpur,Tata Power Company Ltd.,1545.6,8.9
July,Nagpur,Adani Power Ltd.,3048,8.9
October,Nagpur,Indowind Energy,704,8.9
November,Nagpur,Tata Power Company Ltd.,625.92,8.9
May,Nagpur,Reliance Energy,1990.4,8.9
September,Nagpur,Tata Power Company Ltd.,904.32,8.9
January,Nagpur,Orient Green,707.84,8.9
July,Nagpur,Orient Green,2884.8,8.9
April,Nagpur,Indowind Energy,1483.2,8.9
November,Nagpur,Adani Power Ltd.,485.12,8.9
August,Nagpur,Indowind Energy,1140,8.9
March,Nagpur,Indowind Energy,806.4,8.9
February,Nagpur,Tata Power Company Ltd.,645.12,8.9
February,Nagpur,Indowind Energy,597.76,8.9
December,Nagpur,Reliance Energy,563.2,8.9
December,Nagpur,Tata Power Company Ltd.,683.52,8.9
February,Nagpur,Indowind Energy,729.6,8.9
December,Nagpur,Orient Green,513.28,8.9
May,Nagpur,Orient Green,1596.8,8.9
April,Nagpur,Indowind Energy,1269.6,8.9
October,Nagpur,Orient Green,707.2,8.9
August,Nagpur,Orient Green,1375.2,8.9
April,Nagpur,Reliance Energy,1432.8,8.9
October,Nagpur,Orient Green,867.2,8.9
March,Nagpur,Adani Power Ltd.,657.6,8.9
November,Nagpur,Indowind Energy,576,8.9
May,Nagpur,Indowind Energy,1900.8,8.9
April,Nagpur,Indowind Energy,1718.4,8.9
March,Nagpur,Reliance Energy,395.2,8.9
September,Nagpur,Orient Green,537.6,8.9
April,Nagpur,Adani Power Ltd.,1051.2,8.9
September,Nagpur,Adani Power Ltd.,1280.64,8.9
August,Nagpur,Indowind Energy,1920,8.9
December,Nagpur,Orient Green,888.32,8.9
January,Nagpur,Reliance Energy,417.28,8.9
April,Nagpur,Indowind Energy,1514.4,8.9
March,Nagpur,Tata Power Company Ltd.,1041.6,8.9
January,Nagpur,Adani Power Ltd.,976.64,8.9
December,Nagpur,Reliance Energy,700.16,8.9
July,Nagpur,Indowind Energy,3115.2,8.9
April,Nagpur,Tata Power Company Ltd.,1519.2,8.9
March,Nagpur,Tata Power Company Ltd.,1020.8,8.9
February,Nagpur,Reliance Energy,551.68,8.9
June,Nagpur,Adani Power Ltd.,2644.8,8.9
April,Nagpur,Adani Power Ltd.,993.6,8.9
January,Nagpur,Orient Green,528.64,8.9
May,Nagpur,Reliance Energy,1769.6,8.9
August,Nagpur,Adani Power Ltd.,1166.4,8.9
April,Nagpur,Orient Green,885.6,8.9
August,Nagpur,Reliance Energy,1615.2,8.9
October,Nagpur,Adani Power Ltd.,1147.2,8.9
April,Nagpur,Tata Power Company Ltd.,1864.8,8.9
August,Nagpur,Reliance Energy,1552.8,8.9
May,Nagpur,Orient Green,2185.6,8.9
February,Nagpur,Indowind Energy,669.44,8.9
February,Nagpur,Reliance Energy,634.88,8.9
January,Nagpur,Adani Power Ltd.,454.4,8.9
September,Nagpur,Adani Power Ltd.,1363.2,8.9
September,Nagpur,Orient Green,737.28,8.9
August,Nagpur,Indowind Energy,1262.4,8.9
December,Nagpur,Adani Power Ltd.,518.4,8.9
May,Nagpur,Reliance Energy,931.2,8.9
August,Nagpur,Adani Power Ltd.,1341.6,8.9
May,Nagpur,Reliance Energy,2102.4,8.9
February,Nagpur,Tata Power Company Ltd.,450.56,8.9
September,Nagpur,Orient Green,983.04,8.9
May,Nagpur,Reliance Energy,1200,8.9
November,Nagpur,Adani Power Ltd.,806.4,8.9
December,Nagpur,Orient Green,840.96,8.9
September,Nagpur,Orient Green,1031.04,8.9
November,Nagpur,Orient Green,784.64,8.9
February,Nagpur,Orient Green,666.88,8.9
June,Nagpur,Reliance Energy,1939.2,8.9
January,Nagpur,Tata Power Company Ltd.,532.48,8.9
June,Nagpur,Tata Power Company Ltd.,1982.4,8.9
December,Nagpur,Indowind Energy,1091.84,8.9
February,Nagpur,Adani Power Ltd.,620.8,8.9
December,Nagpur,Indowind Energy,976.64,8.9
October,Nagpur,Tata Power Company Ltd.,755.2,8.9
December,Nagpur,Adani Power Ltd.,700.16,8.9
March,Nagpur,Tata Power Company Ltd.,841.6,8.9
March,Nagpur,Reliance Energy,667.2,8.9
April,Nagpur,Reliance Energy,1003.2,8.9
August,Nagpur,Reliance Energy,1132.8,8.9
August,Nagpur,Tata Power Company Ltd.,1135.2,8.9
July,Nagpur,Orient Green,1852.8,8.9
October,Nagpur,Tata Power Company Ltd.,734.4,8.9
October,Nagpur,Indowind Energy,1137.6,8.9
June,Nagpur,Reliance Energy,2462.4,8.9
February,Nagpur,Tata Power Company Ltd.,760.32,8.9
October,Nagpur,Indowind Energy,964.8,8.9
October,Nagpur,Tata Power Company Ltd.,764.8,8.9
February,Nagpur,Orient Green,464.64,8.9
October,Nagpur,Reliance Energy,814.4,8.9
September,Nagpur,Reliance Energy,862.08,8.9
October,Nagpur,Adani Power Ltd.,641.6,8.9
April,Nagpur,Reliance Energy,1540.8,8.9
November,Nagpur,Adani Power Ltd.,852.48,8.9
November,Nagpur,Indowind Energy,492.8,8.9
February,Nagpur,Adani Power Ltd.,564.48,8.9
February,Nagpur,Orient Green,700.16,8.9
April,Nagpur,Orient Green,1680,8.9
March,Nagpur,Reliance Energy,688,8.9
October,Nagpur,Adani Power Ltd.,1033.6,8.9
October,Nagpur,Orient Green,736,8.9
September,Nagpur,Tata Power Company Ltd.,1269.12,8.9
May,Nagpur,Reliance Energy,1248,8.9
November,Nagpur,Adani Power Ltd.,678.4,8.9
October,Nagpur,Indowind Energy,995.2,8.9
December,Nagpur,Indowind Energy,546.56,8.9
March,Nagpur,Orient Green,643.2,8.9
November,Nagpur,Indowind Energy,561.92,8.9
June,Nagpur,Reliance Energy,2376,8.9
April,Nagpur,Reliance Energy,1735.2,8.9
March,Nagpur,Tata Power Company Ltd.,948.8,8.9
July,Nagpur,Tata Power Company Ltd.,2227.2,8.9
June,Navi Mumbai,Adani Power Ltd.,1175.625,9.3
March,Navi Mumbai,Indowind Energy,191.875,9.3
August,Navi Mumbai,Orient Green,420.9375,9.3
April,Navi Mumbai,Reliance Energy,495,9.3
June,Navi Mumbai,Adani Power Ltd.,924.375,9.3
June,Navi Mumbai,Orient Green,832.5,9.3
February,Navi Mumbai,Orient Green,195,9.3
November,Navi Mumbai,Orient Green,228,9.3
June,Navi Mumbai,Orient Green,864.375,9.3
March,Navi Mumbai,Reliance Energy,307.5,9.3
March,Navi Mumbai,Indowind Energy,175.625,9.3
February,Navi Mumbai,Tata Power Company Ltd.,251,9.3
March,Navi Mumbai,Adani Power Ltd.,221.875,9.3
June,Navi Mumbai,Tata Power Company Ltd.,661.875,9.3
February,Navi Mumbai,Indowind Energy,225,9.3
January,Navi Mumbai,Adani Power Ltd.,281,9.3
September,Navi Mumbai,Indowind Energy,303.75,9.3
December,Navi Mumbai,Indowind Energy,180,9.3
September,Navi Mumbai,Adani Power Ltd.,447,9.3
February,Navi Mumbai,Indowind Energy,287.5,9.3
November,Navi Mumbai,Orient Green,247,9.3
April,Navi Mumbai,Indowind Energy,401.25,9.3
October,Navi Mumbai,Orient Green,316.875,9.3
November,Navi Mumbai,Indowind Energy,136,9.3
August,Navi Mumbai,Reliance Energy,762.1875,9.3
November,Navi Mumbai,Tata Power Company Ltd.,267.5,9.3
May,Navi Mumbai,Indowind Energy,451.25,9.3
July,Navi Mumbai,Orient Green,945,9.3
October,Navi Mumbai,Adani Power Ltd.,258.125,9.3
April,Navi Mumbai,Reliance Energy,375,9.3
September,Navi Mumbai,Indowind Energy,503.25,9.3
August,Navi Mumbai,Reliance Energy,568.125,9.3
January,Navi Mumbai,Indowind Energy,168.5,9.3
July,Navi Mumbai,Indowind Energy,1275,9.3
April,Navi Mumbai,Tata Power Company Ltd.,668.4375,9.3
November,Navi Mumbai,Reliance Energy,306,9.3
March,Navi Mumbai,Reliance Energy,375,9.3
August,Navi Mumbai,Reliance Energy,555.9375,9.3
March,Navi Mumbai,Orient Green,272.5,9.3
February,Navi Mumbai,Reliance Energy,266.5,9.3
April,Navi Mumbai,Indowind Energy,600.9375,9.3
November,Navi Mumbai,Reliance Energy,332,9.3
March,Navi Mumbai,Adani Power Ltd.,257.5,9.3
June,Navi Mumbai,Tata Power Company Ltd.,1140,9.3
July,Navi Mumbai,Adani Power Ltd.,701.25,9.3
May,Navi Mumbai,Adani Power Ltd.,358.75,9.3
January,Navi Mumbai,Adani Power Ltd.,231,9.3
December,Navi Mumbai,Reliance Energy,268.5,9.3
May,Navi Mumbai,Reliance Energy,487.5,9.3
November,Navi Mumbai,Tata Power Company Ltd.,336.5,9.3
September,Navi Mumbai,Orient Green,406.5,9.3
August,Navi Mumbai,Orient Green,392.8125,9.3
January,Navi Mumbai,Indowind Energy,233,9.3
June,Navi Mumbai,Orient Green,665.625,9.3
September,Navi Mumbai,Orient Green,295.5,9.3
September,Navi Mumbai,Tata Power Company Ltd.,391.5,9.3
September,Navi Mumbai,Adani Power Ltd.,295.5,9.3
June,Navi Mumbai,Tata Power Company Ltd.,976.875,9.3
June,Navi Mumbai,Tata Power Company Ltd.,860.625,9.3
June,Navi Mumbai,Adani Power Ltd.,1363.125,9.3
October,Navi Mumbai,Orient Green,230.625,9.3
April,Navi Mumbai,Reliance Energy,554.0625,9.3
June,Navi Mumbai,Indowind Energy,765,9.3
February,Navi Mumbai,Adani Power Ltd.,289,9.3
December,Navi Mumbai,Tata Power Company Ltd.,297.5,9.3
January,Navi Mumbai,Adani Power Ltd.,227.5,9.3
March,Navi Mumbai,Tata Power Company Ltd.,406.875,9.3
November,Navi Mumbai,Indowind Energy,253,9.3
January,Navi Mumbai,Adani Power Ltd.,219,9.3
May,Navi Mumbai,Orient Green,451.25,9.3
September,Navi Mumbai,Tata Power Company Ltd.,525,9.3
October,Navi Mumbai,Adani Power Ltd.,253.125,9.3
March,Navi Mumbai,Indowind Energy,214.375,9.3
June,Navi Mumbai,Reliance Energy,1160.625,9.3
October,Navi Mumbai,Adani Power Ltd.,265,9.3
March,Navi Mumbai,Tata Power Company Ltd.,437.5,9.3
September,Navi Mumbai,Adani Power Ltd.,427.5,9.3
June,Navi Mumbai,Reliance Energy,894.375,9.3
March,Navi Mumbai,Reliance Energy,220.625,9.3
September,Navi Mumbai,Orient Green,332.25,9.3
March,Navi Mumbai,Orient Green,339.375,9.3
November,Navi Mumbai,Indowind Energy,219,9.3
July,Navi Mumbai,Indowind Energy,1156.875,9.3
September,Navi Mumbai,Orient Green,324.75,9.3
October,Navi Mumbai,Reliance Energy,373.125,9.3
January,Navi Mumbai,Orient Green,277.5,9.3
January,Navi Mumbai,Orient Green,244,9.3
September,Navi Mumbai,Adani Power Ltd.,460.5,9.3
November,Navi Mumbai,Indowind Energy,190,9.3
April,Navi Mumbai,Reliance Energy,420.9375,9.3
November,Navi Mumbai,Orient Green,232.5,9.3
December,Navi Mumbai,Indowind Energy,113.5,9.3
August,Navi Mumbai,Indowind Energy,477.1875,9.3
November,Navi Mumbai,Indowind Energy,179,9.3
November,Navi Mumbai,Reliance Energy,270.5,9.3
April,Navi Mumbai,Indowind Energy,325.3125,9.3
January,Navi Mumbai,Indowind Energy,319,9.3
November,Navi Mumbai,Tata Power Company Ltd.,317,9.3
April,Navi Mumbai,Adani Power Ltd.,500.625,9.3
March,Navi Mumbai,Orient Green,388.125,9.3
March,Navi Mumbai,Orient Green,258.75,9.3
February,Navi Mumbai,Reliance Energy,227.5,9.3
March,Navi Mumbai,Indowind Energy,323.75,9.3
September,Navi Mumbai,Orient Green,279.75,9.3
January,Navi Mumbai,Indowind Energy,311.5,9.3
January,Navi Mumbai,Indowind Energy,211,9.3
June,Navi Mumbai,Orient Green,960,9.3
February,Navi Mumbai,Orient Green,205,9.3
May,Navi Mumbai,Orient Green,407.5,9.3
March,Navi Mumbai,Tata Power Company Ltd.,278.125,9.3
February,Navi Mumbai,Adani Power Ltd.,221.5,9.3
October,Navi Mumbai,Tata Power Company Ltd.,297.5,9.3
May,Navi Mumbai,Reliance Energy,547.5,9.3
November,Navi Mumbai,Indowind Energy,248.5,9.3
August,Navi Mumbai,Adani Power Ltd.,551.25,9.3
June,Navi Mumbai,Tata Power Company Ltd.,787.5,9.3
July,Navi Mumbai,Orient Green,941.25,9.3
January,Navi Mumbai,Adani Power Ltd.,306,9.3
November,Navi Mumbai,Indowind Energy,172,9.3
March,Navi Mumbai,Tata Power Company Ltd.,443.75,9.3
July,Navi Mumbai,Orient Green,1080,9.3
April,Navi Mumbai,Tata Power Company Ltd.,389.0625,9.3
August,Navi Mumbai,Orient Green,297.1875,9.3
November,Navi Mumbai,Indowind Energy,277.5,9.3
February,Navi Mumbai,Reliance Energy,180,9.3
February,Navi Mumbai,Adani Power Ltd.,201,9.3
December,Navi Mumbai,Reliance Energy,319,9.3
November,Navi Mumbai,Tata Power Company Ltd.,153.5,9.3
June,Navi Mumbai,Reliance Energy,808.125,9.3
October,Navi Mumbai,Tata Power Company Ltd.,229.375,9.3
August,Navi Mumbai,Indowind Energy,333.75,9.3
March,Navi Mumbai,Indowind Energy,219.375,9.3
March,Navi Mumbai,Adani Power Ltd.,350,9.3
March,Navi Mumbai,Orient Green,628.75,9.3
April,Navi Mumbai,Indowind Energy,821.25,9.3
June,Navi Mumbai,Indowind Energy,2133.75,9.3
September,Navi Mumbai,Orient Green,934.5,9.3
November,Navi Mumbai,Adani Power Ltd.,634,9.3
November,Navi Mumbai,Reliance Energy,607,9.3
September,Navi Mumbai,Indowind Energy,1020,9.3
July,Navi Mumbai,Tata Power Company Ltd.,1683.75,9.3
January,Navi Mumbai,Orient Green,494,9.3
February,Navi Mumbai,Orient Green,306,9.3
March,Navi Mumbai,Tata Power Company Ltd.,650,9.3
April,Navi Mumbai,Orient Green,1016.25,9.3
September,Navi Mumbai,Adani Power Ltd.,624,9.3
January,Navi Mumbai,Orient Green,516,9.3
April,Navi Mumbai,Tata Power Company Ltd.,870,9.3
May,Navi Mumbai,Adani Power Ltd.,1047.5,9.3
January,Navi Mumbai,Orient Green,528,9.3
December,Navi Mumbai,Orient Green,332,9.3
November,Navi Mumbai,Tata Power Company Ltd.,554,9.3
December,Navi Mumbai,Reliance Energy,510,9.3
October,Navi Mumbai,Adani Power Ltd.,612.5,9.3
May,Navi Mumbai,Indowind Energy,1790,9.3
July,Navi Mumbai,Orient Green,1515,9.3
July,Navi Mumbai,Adani Power Ltd.,2853.75,9.3
September,Navi Mumbai,Reliance Energy,570,9.3
September,Navi Mumbai,Indowind Energy,793.5,9.3
April,Navi Mumbai,Indowind Energy,1096.875,9.3
February,Navi Mumbai,Indowind Energy,482,9.3
July,Navi Mumbai,Reliance Energy,1927.5,9.3
July,Navi Mumbai,Orient Green,2096.25,9.3
September,Navi Mumbai,Adani Power Ltd.,675,9.3
September,Navi Mumbai,Tata Power Company Ltd.,808.5,9.3
December,Navi Mumbai,Adani Power Ltd.,432,9.3
August,Navi Mumbai,Reliance Energy,1213.125,9.3
July,Navi Mumbai,Orient Green,1901.25,9.3
June,Navi Mumbai,Adani Power Ltd.,2006.25,9.3
June,Navi Mumbai,Reliance Energy,2598.75,9.3
June,Navi Mumbai,Indowind Energy,2036.25,9.3
November,Navi Mumbai,Indowind Energy,763,9.3
June,Navi Mumbai,Orient Green,1995,9.3
December,Navi Mumbai,Indowind Energy,644,9.3
December,Navi Mumbai,Tata Power Company Ltd.,585,9.3
May,Navi Mumbai,Orient Green,907.5,9.3
February,Navi Mumbai,Tata Power Company Ltd.,452,9.3
June,Navi Mumbai,Tata Power Company Ltd.,1500,9.3
July,Navi Mumbai,Indowind Energy,1080,9.3
February,Navi Mumbai,Reliance Energy,384,9.3
July,Navi Mumbai,Adani Power Ltd.,1155,9.3
February,Navi Mumbai,Tata Power Company Ltd.,569,9.3
November,Navi Mumbai,Orient Green,521,9.3
March,Navi Mumbai,Reliance Energy,651.25,9.3
July,Navi Mumbai,Tata Power Company Ltd.,2343.75,9.3
November,Navi Mumbai,Indowind Energy,553,9.3
December,Navi Mumbai,Orient Green,383,9.3
April,Navi Mumbai,Indowind Energy,881.25,9.3
August,Navi Mumbai,Reliance Energy,1091.25,9.3
August,Navi Mumbai,Indowind Energy,913.125,9.3
January,Navi Mumbai,Adani Power Ltd.,196,9.3
January,Navi Mumbai,Reliance Energy,626,9.3
October,Navi Mumbai,Reliance Energy,500,9.3
July,Navi Mumbai,Reliance Energy,1882.5,9.3
June,Navi Mumbai,Indowind Energy,2212.5,9.3
October,Navi Mumbai,Reliance Energy,670,9.3
February,Navi Mumbai,Indowind Energy,274,9.3
August,Navi Mumbai,Adani Power Ltd.,528.75,9.3
June,Navi Mumbai,Reliance Energy,2561.25,9.3
November,Navi Mumbai,Adani Power Ltd.,609,9.3
January,Navi Mumbai,Reliance Energy,401,9.3
September,Navi Mumbai,Tata Power Company Ltd.,538.5,9.3
January,Navi Mumbai,Orient Green,731,9.3
September,Navi Mumbai,Adani Power Ltd.,673.5,9.3
October,Navi Mumbai,Reliance Energy,478.75,9.3
November,Navi Mumbai,Orient Green,513,9.3
December,Navi Mumbai,Orient Green,629,9.3
June,Navi Mumbai,Tata Power Company Ltd.,1267.5,9.3
March,Navi Mumbai,Tata Power Company Ltd.,641.25,9.3
December,Navi Mumbai,Indowind Energy,690,9.3
April,Navi Mumbai,Tata Power Company Ltd.,980.625,9.3
June,Navi Mumbai,Orient Green,2077.5,9.3
August,Navi Mumbai,Orient Green,772.5,9.3
June,Navi Mumbai,Adani Power Ltd.,2231.25,9.3
October,Navi Mumbai,Orient Green,787.5,9.3
December,Navi Mumbai,Orient Green,463,9.3
August,Navi Mumbai,Adani Power Ltd.,1365,9.3
January,Navi Mumbai,Reliance Energy,483,9.3
October,Navi Mumbai,Indowind Energy,468.75,9.3
September,Navi Mumbai,Tata Power Company Ltd.,901.5,9.3
July,Navi Mumbai,Reliance Energy,2291.25,9.3
August,Navi Mumbai,Indowind Energy,774.375,9.3
July,Navi Mumbai,Orient Green,2283.75,9.3
November,Navi Mumbai,Orient Green,579,9.3
January,Navi Mumbai,Orient Green,650,9.3
November,Navi Mumbai,Adani Power Ltd.,459,9.3
June,Navi Mumbai,Adani Power Ltd.,2302.5,9.3
February,Navi Mumbai,Adani Power Ltd.,493,9.3
September,Navi Mumbai,Indowind Energy,540,9.3
December,Navi Mumbai,Tata Power Company Ltd.,552,9.3
March,Navi Mumbai,Tata Power Company Ltd.,548.75,9.3
October,Navi Mumbai,Adani Power Ltd.,463.75,9.3
October,Navi Mumbai,Tata Power Company Ltd.,275,9.3
October,Navi Mumbai,Indowind Energy,853.75,9.3
April,Navi Mumbai,Orient Green,931.875,9.3
October,Navi Mumbai,Adani Power Ltd.,530,9.3
March,Navi Mumbai,Orient Green,578.75,9.3
July,Navi Mumbai,Reliance Energy,2231.25,9.3
September,Navi Mumbai,Adani Power Ltd.,789,9.3
February,Navi Mumbai,Reliance Energy,562,9.3
April,Navi Mumbai,Adani Power Ltd.,991.875,9.3
January,Navi Mumbai,Orient Green,685,9.3
January,Navi Mumbai,Reliance Energy,462,9.3
February,Navi Mumbai,Reliance Energy,340,9.3
January,Navi Mumbai,Indowind Energy,499,9.3
May,Navi Mumbai,Adani Power Ltd.,1357.5,9.3
February,Navi Mumbai,Reliance Energy,299,9.3
May,Navi Mumbai,Orient Green,1530,9.3
September,Navi Mumbai,Orient Green,997.5,9.3
September,Navi Mumbai,Adani Power Ltd.,784.5,9.3
August,Navi Mumbai,Tata Power Company Ltd.,1522.5,9.3
November,Navi Mumbai,Tata Power Company Ltd.,560,9.3
October,Navi Mumbai,Reliance Energy,615,9.3
December,Navi Mumbai,Indowind Energy,740,9.3
June,Navi Mumbai,Indowind Energy,1792.5,9.3
May,Navi Mumbai,Tata Power Company Ltd.,1737.5,9.3
July,Navi Mumbai,Tata Power Company Ltd.,2156.25,9.3
January,Navi Mumbai,Reliance Energy,584,9.3
April,Navi Mumbai,Indowind Energy,834.375,9.3
April,Navi Mumbai,Adani Power Ltd.,885,9.3
January,Navi Mumbai,Indowind Energy,259,9.3
January,Navi Mumbai,Tata Power Company Ltd.,525,9.3
November,Navi Mumbai,Adani Power Ltd.,569,9.3
May,Navi Mumbai,Indowind Energy,1057.5,9.3
May,Navi Mumbai,Adani Power Ltd.,1352.5,9.3
September,Navi Mumbai,Adani Power Ltd.,828,9.3
November,Navi Mumbai,Adani Power Ltd.,514,9.3
November,Navi Mumbai,Tata Power Company Ltd.,515,9.3
July,Navi Mumbai,Tata Power Company Ltd.,2452.5,9.3
March,Navi Mumbai,Adani Power Ltd.,823.75,9.3
October,Navi Mumbai,Reliance Energy,627.5,9.3
April,Navi Mumbai,Reliance Energy,778.125,9.3
August,Navi Mumbai,Adani Power Ltd.,900,9.3
August,Navi Mumbai,Tata Power Company Ltd.,873.75,9.3
February,Navi Mumbai,Adani Power Ltd.,582,9.3
January,Navi Mumbai,Tata Power Company Ltd.,560,9.3
August,Navi Mumbai,Tata Power Company Ltd.,1488.75,9.3
October,Navi Mumbai,Indowind Energy,537.5,9.3
October,Navi Mumbai,Reliance Energy,640,9.3
June,Navi Mumbai,Orient Green,2478.75,9.3
August,Navi Mumbai,Tata Power Company Ltd.,969.375,9.3
January,Navi Mumbai,Indowind Energy,683,9.3
April,Navi Mumbai,Adani Power Ltd.,1076.25,9.3
August,Navi Mumbai,Adani Power Ltd.,532.5,9.3
April,Navi Mumbai,Tata Power Company Ltd.,710.625,9.3
March,Navi Mumbai,Tata Power Company Ltd.,541.25,9.3
January,Navi Mumbai,Reliance Energy,480,9.3
March,Navi Mumbai,Indowind Energy,631.25,9.3
September,Navi Mumbai,Reliance Energy,694.5,9.3
February,Navi Mumbai,Indowind Energy,446,9.3
November,Navi Mumbai,Reliance Energy,591,9.3
April,Navi Mumbai,Tata Power Company Ltd.,688.125,9.3
December,Navi Mumbai,Adani Power Ltd.,544,9.3
January,Navi Mumbai,Adani Power Ltd.,721,9.3
August,Navi Mumbai,Tata Power Company Ltd.,691.875,9.3
April,Navi Mumbai,Tata Power Company Ltd.,905.625,9.3
January,Navi Mumbai,Tata Power Company Ltd.,765,9.3
January,Navi Mumbai,Orient Green,670,9.3
November,Navi Mumbai,Reliance Energy,487,9.3
July,Navi Mumbai,Reliance Energy,2422.5,9.3
May,Navi Mumbai,Reliance Energy,927.5,9.3
May,Navi Mumbai,Indowind Energy,790,9.3
January,Navi Mumbai,Orient Green,628,9.3
